NUK768215;-;-;6273
WLZ137562;-;-;2709
TCE359610;5155;5155;-
XVF681375;2343;2343;-
BVP031287;5270;5270;5270
CUA917450;4450;4450;4450
VSF064827;9904;-;9904
FKH293476;-;5336;-
MTL826753;-;-;8985
SYA472039;4508;-;4508
YSU164902;-;-;3485
CJM574831;-;6767;6767
TXJ792608;2054;-;2054
XMH529384;-;8435;-
KPN843579;498;498;498
OZW930862;-;-;3170
DWI890613;-;4009;-
GUB791064;1581;1581;1581
GPS421835;8384;8384;8384
CVS487293;1657;1657;1657
HRM061529;-;9143;9143
AGY260437;6301;-;6301
QYM416538;-;-;1806
GDQ310678;118;118;-
WMV371056;5299;-;5299
FGU487201;5231;-;5231
XGO437619;4129;4129;4129
ABG516798;58;58;58
NTV275364;-;1854;-
WEM658309;-;7191;-
VSX846013;7808;7808;-
LWJ630924;7222;7222;7222
VOY791054;7345;-;-
IOU734091;8069;8069;-
IVH537649;8945;8945;-
VUQ627083;166;166;166
FAV659140;3248;-;3248
LKY135602;-;8649;-
ECK870912;4378;-;4378
ZDK743602;7123;7123;-
WOD743016;521;-;521
ECG635814;-;-;1950
FTN716435;3265;3265;-
ESB196584;-;4250;4250
VOI571362;1232;-;1232
FXQ619285;1648;1648;1648
KNO816932;-;8808;8808
KVB605124;7133;7133;7133
ZIX906714;287;287;287
SXY098264;-;-;6846
SJE734609;5647;5647;-
RDX461058;-;808;808
UWR961203;1390;1390;-
HET491762;3841;3841;3841
ITE798210;-;416;416
PME547108;1916;-;1916
OQJ867150;-;-;3461
HKS752813;-;5632;-
HNZ750138;503;503;503
YBM982650;8860;8860;8860
QZT138657;1084;1084;-
OPN940781;-;8033;-
PNR285497;-;3454;-
VEU972861;1209;-;1209
WDN143852;5638;5638;5638
VYD759348;3921;-;-
MZH618475;-;6667;6667
ASH129085;4700;-;4700
SOW051862;5235;-;5235
COD094512;-;-;5316
TAR092457;-;8866;-
WXS603894;2506;2506;2506
NEJ623974;193;-;-
OSD294360;3602;3602;-
KMT842517;6908;6908;-
GFH592746;2622;2622;2622
TAF940536;-;4289;4289
JMS580473;1384;-;1384
YUK510246;-;5040;-
KZS249786;562;562;562
PZL671904;7974;7974;-
KDM480195;2428;-;2428
UMI806971;2368;-;-
UKC351289;7063;-;-
YLK950287;4963;-;4963
LKR157028;-;-;9341
UMR143960;-;7355;7355
ULN781360;1626;1626;-
KRT827134;5284;5284;5284
QSG804973;6934;6934;-
HBQ294753;7682;7682;-
